game_id,favorite,underdog,spread,total,shootout_prob,defensive_prob,blowout_prob,competitive_prob,primary_script,script_strength
CAR@LAR,LAR,CAR,-10.0,44.5,0.160993076582962,0.2754092249059485,0.5322181457809924,0.03137955273009704,blowout,0.5322181457809924
CLE@SF,SF,CLE,-5.5,35.5,0.1440244461689938,0.48466861362189917,0.190113846021111,0.18119309418799603,defensive,0.48466861362189917
HOU@IND,IND,HOU,-3.0,44.5,0.24401835446696882,0.2680423971262237,0.10822293176425005,0.3797163166425575,competitive,0.3797163166425575
NO@MIA,MIA,NO,-5.5,42.5,0.18240478979995478,0.3850280624424308,0.22147984650184369,0.21108730125577074,defensive,0.3850280624424308
NYJ@ATL,ATL,NYJ,-3.0,38.5,0.1805597931557001,0.4026317247504995,0.09086276629962634,0.3259457157941739,defensive,0.4026317247504995
TEN@JAX,JAX,TEN,-6.0,42.5,0.19124132971181756,0.37247750606079016,0.25516182752210337,0.18111933670528885,defensive,0.37247750606079016
ARI@TB,TB,ARI,-4.5,44.5,0.24637684918481859,0.2867018011521415,0.17263273036265456,0.2942886193003855,competitive,0.2942886193003855
MIN@SEA,SEA,MIN,-12.5,42.5,0.0993755494294028,0.33785309539208386,0.5544345913446508,0.008336763833862611,blowout,0.5544345913446508
LV@LAC,LAC,LV,-10.0,40.5,0.10182520322187753,0.40203524440197325,0.4685158816507305,0.02762367072541867,blowout,0.4685158816507305
PIT@BUF,BUF,PIT,-3.0,44.5,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,competitive,0.38116932471952236
WAS@DEN,DEN,WAS,-6.0,43.5,0.19215037254608588,0.35344931483535275,0.2699729160130748,0.1844273966054864,defensive,0.35344931483535275
NYG@NE,NE,NYG,-7.5,46.5,0.2613375582848439,0.22469149494986462,0.40902328797807275,0.10494765878721858,blowout,0.40902328797807275
